lon,lat
592950.4504,517001.5047
593719.8815,518202.4722
593108.64,517623.5014
593126.3247,517620.235
556748.1148,533705.4418
593108.64,517623.5014
594314.3069,526141.8007
408347.3756,519137.5888
441448.2909,552002.6331
557241.9385,533446.7081
589990.9435,521867.0052
585815.9345,515281.119
585815.9345,515281.119
409310.364,629154.6401
408829.9543,629219.7192
486520.6546,601051.2587
416106.8898,536084.1353
419829.4696,536212.0398
422664.5921,535219.5696
530255.6965,576371.8012
530111.7606,576400.4262
530233.3984,576410.5906
389180.2543,578002.4752
409521.7018,530612.7461
409525.9553,530624.1316
410898.4064,528352.3674
409710.1786,528552.9343
411818.1617,534586.6003
416771.5426,535392.6086
418508.2385,537914.0494
521492.0254,460361.4252
572578.8771,481215.1839
572861.358,481295.7369
356873.8037,449046.4176
356915.1892,448891.8445
356777.7385,448816.5157
356922.6073,453879.2643
356458.7192,453486.9608
364996.4428,447379.6974
364057.3306,446978.2244
362543.0361,446714.2353
486520.6546,601051.2587
482505.1009,628983.2996
357689.6956,464155.0871
359021.7147,463571.2892
359180.738,462455.0724
361031.3939,460425.8228
363741.1736,459405.9782
363892.0792,459611.879
363899.4579,459621.1662
481888.5122,619893.4736
480526.0491,620157.1864
491929.1687,631113.1011
320378.4332,447820.3053
369626.6216,443061.5189
360774.1781,449206.2311
356961.2077,449075.8734
357517.3194,465017.7646
357667.9052,464224.7286
358511.6027,463660.5689
361786.5506,459641.5709
363796.4752,459537.9365
363912.3336,459589.3159
357247.1602,465416.8085
356284.2826,461380.6288
572737.0729,481260.6032
572968.4163,481262.9898
571177.4739,481387.7426
467244.198,560001.5691
500642.7623,572100.4271
494828.7565,550126.8993
458635.6456,465983.8965
458546.5655,466055.4979
458535.8836,466065.2368
499385.054,548163.9691
499326.2455,548620.409
498882.7404,549343.9674
499796.5548,548932.8885
490240.2649,547321.6721
469578.7732,511742.7489
469371.5884,570951.1524
469271.8849,570715.6327
469257.4129,569854.0349
490504.3914,556186.0627
500743.991,560470.5173
500926.0415,559953.5261
465183.7213,464133.9334
460648.2081,461552.5759
498892.5117,551115.3621
495521.9576,547650.136
495094.2173,546961.7594
488464.9586,548669.2913
496077.1645,567395.3945
493934.3503,565464.9852
495128.9754,567974.1231
495216.7546,569635.0526
495205.4954,569630.5048
495205.4954,569630.5048
494350.2403,567346.8541
497403.8899,566654.71
498484.1165,566353.5989
497147.9638,570761.1421
497091.5059,570523.7711
497078.1177,570543.1161
501008.7768,570187.4002
501009.3433,572303.4218
491423.3549,555219.5803
486353.5573,558460.2834
486737.9723,558399.4184
485641.2964,558327.2231
498134.7844,557141.615
494428.7826,560693.8568
494944.2978,560399.4446
498011.2369,560839.3327
498016.452,560842.1095
504271.1045,560334.3824
486748.9866,550660.4505
486780.5092,550639.3772
492635.6145,550569.587
494777.4995,550191.4019
494374.6393,552053.1818
500942.5358,552483.4231
531144.5691,496662.6843
532168.187,493750.0766
571982.3129,480756.2458
496854.6627,547434.923
499290.1313,549260.5545
498871.2993,549374.9764
498879.7357,549297.6243
499171.8489,548908.4915
499176.8442,548918.3819
499193.5156,548912.934
499312.6456,548617.8544
499340.3291,548123.0759
490237.4442,547335.9019
484463.3352,525624.2059
517065.065,466422.5542
516952.1478,466253.1782
575272.3207,464841.0875
593844.3511,483443.7713
517065.065,466422.5542
516952.1478,466253.1782
575272.3207,464841.0875
593844.3511,483443.7713
488462.1266,513514.6041
486112.1063,512098.1108
485929.2976,512010.4195
485178.3869,511744.0977
472014.575,515989.3787
471895.4106,515490.154
457196.056,506690.8606
457061.6473,504897.8135
456756.7988,504869.6714
461824.0602,508727.8183
464380.8378,511492.7588
464459.2211,510880.2649
464522.4491,508978.2178
464502.6407,509081.8105
467249.7148,517896.0778
468408.4761,510681.1145
487060.3134,511931.7891
494997.3722,522861.2373
495200.165,522890.687
476314.6861,511230.3772
506015.2453,507418.3116
506070.3184,507489.0535
505811.8219,507137.6933
498568.8669,522535.5925
478624.4019,521778.1303
488390.5682,520815.0948
488252.2704,523389.7744
488330.7255,516772.8688
489372.4555,517914.183
480778.0438,520659.1882
480701.6693,520747.8441
481215.5496,520688.4523
481111.6007,520976.1427
481095.8954,521172.3148
472071.6592,514325.5041
